# FRED pull 2026-06-24 (1985-01-01..2019-12-31)
DATE,x,pi,i
1985-04-01,-0.7531568514490772,0.8634616761534986,1.9808333333333332
1985-07-01,-0.08913070690574898,1.0217721133260138,1.9749999999999999
1985-10-01,-0.1937174200776326,0.7146681951045952,2.0258333333333334
1986-01-01,-0.10054515479822612,1.0739007864189798,1.9566666666666668
1986-04-01,-0.4778090577431726,0.6833089796000724,1.7299999999999998
1986-07-01,-0.3462782305749812,0.6844468588893093,1.5516666666666665
1986-10-01,-0.6250663605943174,0.8109992077804051,1.5666666666666667
1987-01-01,-0.6909052116867542,0.631321236610427,1.555
1987-04-01,-0.4088999110026137,0.9661971728568197,1.6624999999999999
1987-07-01,-0.32126752260346336,0.891782853582912,1.7108333333333334
1987-10-01,0.6111123390038387,1.011204663149412,1.7291666666666667
1988-01-01,0.3700870234160547,0.960304888490171,1.6658333333333335
1988-04-01,0.9279209234021479,1.204698982838348,1.7891666666666666
1988-07-01,0.776435155030164,1.145179640718652,1.9958333333333333
1988-10-01,1.3704524115194516,1.11104698634108,2.1175
1989-01-01,1.6595312676718876,1.0854605987361765,2.3608333333333333
1989-04-01,1.7058708686183977,0.9056281098522412,2.4316666666666666
1989-07-01,1.736431375856462,0.7414184020604786,2.2708333333333335
1989-10-01,1.2318886745028124,0.9113133490600056,2.1533333333333333
1990-01-01,1.6247792342330314,1.144963533302068,2.0625
1990-04-01,1.3009332838157306,1.1109398285681138,2.060833333333333
1990-07-01,0.6959999909145864,1.0054825965152503,2.04
1990-10-01,-0.8759956798256141,0.8361435502416192,1.935833333333333
1991-01-01,-1.9923089902349034,0.8837076546419631,1.6066666666666667
1991-04-01,-1.8512034027450497,0.767893205796355,1.4658333333333333
1991-07-01,-1.9780386507260772,0.8963555884479391,1.4108333333333334
1991-10-01,-2.26810453849442,0.7836960301358609,1.2041666666666666
1992-01-01,-1.7221094430341921,0.7624538119073598,1.0058333333333334
1992-04-01,-1.2942701245627575,0.703269627171732,0.9424999999999999
1992-07-01,-0.9724340760238093,0.5906404551050848,0.8141666666666666
1992-10-01,-0.6040270167401829,0.7301008891998251,0.7591666666666667
1993-01-01,-1.1213770012311386,0.6871932580989615,0.7599999999999999
1993-04-01,-1.2306532369386503,0.7561999309218415,0.75
1993-07-01,-1.4491947210268918,0.5575249929723469,0.765
1993-10-01,-0.800228526551372,0.5130077191068949,0.7475
1994-01-01,-0.5436512492941858,0.4527587869684879,0.8033333333333333
1994-04-01,0.09395199175230573,0.6706282160996224,0.985
1994-07-01,-0.037953277509750194,0.5567507311229569,1.1216666666666668
1994-10-01,0.3804709083009783,0.506791339626389,1.2916666666666667
1995-01-01,0.010778260576849163,0.5227006184244765,1.4525
1995-04-01,-0.4203351640649444,0.5919756857579728,1.505
1995-07-01,-0.3032264553409547,0.4755890573141741,1.4491666666666667
1995-10-01,-0.36951068935113796,0.5001269130624486,1.43
